24 Sep 2019 02:32:57, Gen 10, Species 1, finished with a score of 1546.00
24 Sep 2019 03:01:04, Gen 10, Species 2, finished with a score of 1096.00
24 Sep 2019 03:29:07, Gen 10, Species 3, finished with a score of 1306.00
24 Sep 2019 03:57:02, Gen 10, Species 4, finished with a score of 842.00
24 Sep 2019 05:00:50, Gen 11, Species 0, finished with a score of 1065.00
24 Sep 2019 05:43:27, Gen 11, Species 1, finished with a score of 1289.00
24 Sep 2019 06:26:04, Gen 11, Species 2, finished with a score of 1321.00
24 Sep 2019 07:08:36, Gen 11, Species 3, finished with a score of 1167.00
24 Sep 2019 07:51:21, Gen 11, Species 4, finished with a score of 1326.00
24 Sep 2019 09:12:33, Gen 12, Species 0, finished with a score of 1155.00
24 Sep 2019 10:06:10, Gen 12, Species 1, finished with a score of 1485.00
24 Sep 2019 11:00:58, Gen 12, Species 2, finished with a score of 1366.00
24 Sep 2019 11:55:46, Gen 12, Species 3, finished with a score of 836.00
24 Sep 2019 12:49:20, Gen 12, Species 4, finished with a score of 883.00
